iso_code,continent,location,N_Year_CY,N_Month_CY,total_cases_CY,new_cases_CY,total_deaths_CY,new_deaths_CY,reproduction_rate_CY,N_Year_LY,N_Month_LY,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY
BGD,Asia,Bangladesh,2021,12,48996978.0,9255.0,869050.0,91.0,34.64,2020,12,15301465.0,48578.0,221327.0,915.0,26.93999999999999
CIV,Africa,Cote d'Ivoire,2021,5,1446952.0,1256.0,9158.0,19.0,30.700000000000003,2020,5,63068.0,1558.0,772.0,19.0,35.7
CUW,North America,Curacao,2021,5,379706.0,77.0,3661.0,13.0,0.0,2020,5,514.0,3.0,31.0,0.0,0.0
TCD,Africa,Chad,2021,12,175601.0,596.0,5599.0,6.0,0.5500000000000003,2020,12,57171.0,425.0,3173.0,3.0,38.489999999999995
CAF,Africa,Central African Republic,2021,10,355117.0,147.0,3100.0,0.0,12.510000000000002,2020,10,150498.0,37.0,1922.0,0.0,16.119999999999997
OWID_OCE,,Oceania,2021,3,1654019.0,5889.0,34333.0,54.0,0.0,2020,3,39837.0,5238.0,193.0,19.0,0.0
BLZ,North America,Belize,2021,4,376175.0,212.0,9569.0,6.0,26.250000000000004,2020,4,411.0,15.0,46.0,2.0,0.0
FRA,Europe,France,2021,7,183825797.0,352170.0,3455949.0,795.0,44.59,2020,7,6637525.0,22991.0,932591.0,422.0,37.63999999999999
ISR,Asia,Israel,2021,5,26012078.0,994.0,198025.0,49.0,20.409999999999997,2020,5,512036.0,1183.0,8248.0,62.0,23.549999999999997
DZA,Africa,Algeria,2021,11,6249508.0,4079.0,179783.0,151.0,34.27000000000001,2020,11,2074384.0,25257.0,65248.0,467.0,39.17
ZMB,Africa,Zambia,2021,12,6817388.0,44105.0,114177.0,67.0,69.53000000000002,2020,12,579474.0,3078.0,11513.0,31.0,44.53
VAT,Europe,Vatican,2021,12,837.0,0.0,0.0,0.0,0.0,2020,12,837.0,0.0,0.0,0.0,0.0
COL,South America,Colombia,2021,10,154383574.0,45110.0,3931205.0,982.0,31.13,2020,10,29377177.0,244505.0,888821.0,5316.0,32.989999999999995
ESP,Europe,Spain,2021,11,152079399.0,153036.0,2631569.0,684.0,43.290000000000006,2020,11,43932783.0,462509.0,1232707.0,9191.0,29.079999999999995
VGB,North America,British Virgin Islands,2021,6,7840.0,50.0,30.0,0.0,0.0,2020,6,240.0,0.0,30.0,0.0,0.0
SLE,Africa,Sierra Leone,2021,6,139541.0,1428.0,2525.0,21.0,48.94,2020,6,35399.0,601.0,1565.0,14.0,28.88
BWA,Africa,Botswana,2021,11,5796975.0,8474.0,72380.0,12.0,24.049999999999997,2020,11,261748.0,4100.0,858.0,10.0,29.46
ARE,Asia,United Arab Emirates,2021,8,21761120.0,37512.0,62026.0,92.0,28.32,2020,8,2009206.0,9725.0,11311.0,33.0,33.459999999999994
CHL,South America,Chile,2021,5,39934689.0,186101.0,862376.0,2947.0,31.610000000000007,2020,5,1763115.0,105848.0,15833.0,827.0,45.99999999999999
LVA,Europe,Latvia,2021,3,2937772.0,16177.0,55047.0,281.0,29.489999999999995,2020,3,3277.0,398.0,0.0,0.0,13.68
ARE,Asia,United Arab Emirates,2021,2,9796313.0,87915.0,28821.0,371.0,27.05,2020,2,268.0,17.0,0.0,0.0,0.0
LVA,Europe,Latvia,2021,6,4081207.0,4230.0,73814.0,137.0,20.500000000000004,2020,6,32971.0,52.0,835.0,6.0,25.08
SPM,North America,Saint Pierre and Miquelon,2021,7,822.0,2.0,0.0,0.0,0.0,2020,7,83.0,3.0,0.0,0.0,0.0
ERI,Africa,Eritrea,2021,5,119530.0,423.0,398.0,4.0,34.01,2020,5,1209.0,0.0,0.0,0.0,0.0
OWID_LIC,,Low income,2021,6,25604824.0,123917.0,643855.0,3506.0,0.0,2020,6,1972147.0,44225.0,57619.0,1413.0,0.0
OWID_EUR,,Europe,2021,10,1930863834.0,5537892.0,39182204.0,78623.0,0.0,2020,10,217743970.0,4866392.0,7434932.0,43515.0,0.0
BOL,South America,Bolivia,2021,9,14877769.0,9566.0,558339.0,283.0,28.739999999999995,2020,9,3821303.0,18713.0,212820.0,2938.0,24.969999999999995
MOZ,Africa,Mozambique,2021,9,4480929.0,4407.0,56882.0,53.0,17.490000000000002,2020,9,179950.0,4812.0,1175.0,38.0,36.38
ATG,North America,Antigua and Barbuda,2021,12,129927.0,142.0,3638.0,2.0,28.32,2020,12,4656.0,18.0,143.0,1.0,21.219999999999995
SLV,North America,El Salvador,2021,3,1939285.0,4545.0,60446.0,152.0,28.700000000000006,2020,3,156.0,32.0,1.0,1.0,0.0
COM,Africa,Comoros,2021,8,125299.0,40.0,4557.0,0.0,25.020000000000003,2020,8,12580.0,45.0,217.0,0.0,21.79
HUN,Europe,Hungary,2021,6,24207963.0,3590.0,897466.0,259.0,17.630000000000003,2020,6,121673.0,279.0,16819.0,59.0,21.200000000000003
MNE,Europe,Montenegro,2021,11,4563586.0,13062.0,66321.0,204.0,27.34999999999999,2020,11,820589.0,16924.0,11871.0,198.0,35.31999999999999
BLR,Europe,Belarus,2021,8,14349120.0,35492.0,112135.0,326.0,34.059999999999995,2020,8,2159686.0,4035.0,19080.0,122.0,31.830000000000005
GRL,North America,Greenland,2021,12,60996.0,1155.0,5.0,1.0,0.0,2020,12,657.0,9.0,0.0,0.0,0.0
LAO,Asia,Laos,2021,7,110312.0,4178.0,129.0,4.0,53.74,2020,7,597.0,1.0,0.0,0.0,0.0
MAC,Asia,Macao,2021,7,1737.0,5.0,0.0,0.0,0.0,2020,7,1426.0,0.0,0.0,0.0,0.0
BOL,South America,Bolivia,2021,12,17393684.0,62194.0,601197.0,509.0,41.79,2020,12,4637462.0,15416.0,280226.0,208.0,41.69
STP,Africa,Sao Tome and Principe,2021,5,72144.0,43.0,1105.0,3.0,23.200000000000003,2020,5,7624.0,469.0,213.0,12.0,10.270000000000001
OWID_EUR,,Europe,2021,11,2091572648.0,9310231.0,40892758.0,113038.0,0.0,2020,11,420658489.0,7432511.0,9871020.0,129056.0,0.0
ERI,Africa,Eritrea,2021,7,196912.0,538.0,931.0,12.0,25.710000000000004,2020,7,7490.0,76.0,0.0,0.0,12.449999999999994
OWID_UMC,,Upper middle income,2021,6,1620121988.0,5623306.0,46499067.0,142550.0,0.0,2020,6,78990150.0,1879756.0,3758552.0,81833.0,0.0
USA,North America,United States,2021,10,1391997735.0,2505765.0,22490182.0,47785.0,28.150000000000002,2020,10,251452956.0,1935760.0,6787510.0,24635.0,35.43000000000001
FLK,South America,Falkland Islands,2021,4,1807.0,9.0,0.0,0.0,0.0,2020,4,239.0,13.0,0.0,0.0,0.0
OWID_EUN,,European Union,2021,9,1125836169.0,1517058.0,22861568.0,16113.0,0.0,2020,9,71416174.0,996012.0,4303006.0,7822.0,0.0
OWID_AFR,,Africa,2021,4,132003504.0,340361.0,3517509.0,9026.0,0.0,2020,4,590540.0,32974.0,28102.0,1434.0,0.0
KWT,Asia,Kuwait,2021,5,9056466.0,35231.0,52241.0,209.0,30.079999999999995,2020,5,445816.0,23019.0,3288.0,186.0,41.7
KOR,Asia,South Korea,2021,11,12153895.0,85964.0,95864.0,801.0,35.099999999999994,2020,11,888618.0,8017.0,14883.0,60.0,40.03
MSR,North America,Montserrat,2021,6,600.0,0.0,30.0,0.0,0.0,2020,6,330.0,0.0,30.0,0.0,0.0
BES,North America,Bonaire Sint Eustatius and Saba,2021,10,71340.0,339.0,599.0,0.0,0.0,2020,10,4486.0,32.0,72.0,2.0,0.0
IRN,Asia,Iran,2021,3,54610163.0,254395.0,1903718.0,2592.0,31.590000000000007,2020,3,525947.0,44012.0,34200.0,2855.0,58.57
TZA,Africa,Tanzania,2021,6,15270.0,0.0,630.0,0.0,0.0,2020,6,15270.0,0.0,630.0,0.0,1.1400000000000006
GIB,Europe,Gibraltar,2021,7,142317.0,617.0,2914.0,0.0,0.0,2020,7,5619.0,10.0,0.0,0.0,0.0
