iso_code,continent,location,N_Year,N_Month,N_YM,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate
NGA,Africa,Nigeria,2020,6,202006,521195.0,15532.0,13324.0,303.0,2465.4349999999995,73.472,63.02900000000001,1.4349999999999998,34.339999999999996
CUB,North America,Cuba,2022,1,202201,15657082.0,33189.0,133416.0,18.0,1383440.227,2932.538,11788.471,1.5889999999999993,32.68
BLR,Europe,Belarus,2021,7,202107,13396842.0,28851.0,102454.0,311.0,1418726.1120000002,3055.323,10849.890000000001,32.935,32.61000000000001
CUW,North America,Curacao,2021,10,202110,523080.0,584.0,5268.0,11.0,3174106.1670000004,3543.775,31966.798999999995,66.74799999999999,0.0
BGD,Asia,Bangladesh,2020,9,202009,10232791.0,50483.0,143910.0,970.0,61530.825000000004,303.5589999999999,865.346,5.824000000000002,26.82
PER,South America,Peru,2021,4,202104,50368511.0,250638.0,4662915.0,23285.0,1509873.9310000003,7513.262000000001,139778.082,698.0020000000001,30.91
BRA,South America,Brazil,2021,8,202108,632188702.0,863050.0,17665488.0,24088.0,2954243.358,4033.067,82551.54,112.56300000000002,28.07
MSR,North America,Montserrat,2020,6,202006,330.0,0.0,30.0,0.0,66251.76,0.0,6022.8899999999985,0.0,0.0
SVN,Europe,Slovenia,2020,8,202008,76193.0,727.0,3985.0,14.0,36653.755,349.733,1917.041,6.733999999999999,37.01000000000001
DNK,Europe,Denmark,2022,1,202201,15423284.0,328809.0,54046.0,227.0,2653102.1440000003,56561.486,9296.952000000001,39.04500000000001,16.86
TUV,Oceania,Tuvalu,2021,9,202109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,Europe,Greece,2021,4,202104,9230831.0,81344.0,278093.0,2288.0,890083.5239999999,7843.603000000001,26815.141,220.621,29.689999999999998
GIN,Africa,Guinea,2020,3,202003,104.0,22.0,0.0,0.0,7.702999999999999,1.6300000000000001,0.0,0.0,0.0
BDI,Africa,Burundi,2020,8,202008,12907.0,58.0,31.0,0.0,1053.1649999999997,4.734999999999999,2.542,0.0,22.350000000000005
DEU,Europe,Germany,2020,3,202003,588179.0,71729.0,3876.0,775.0,7010.437,854.9280000000001,46.197,9.238999999999999,74.90999999999998
GHA,Africa,Ghana,2021,8,202108,3455373.0,16417.0,28701.0,213.0,108891.93899999995,517.3629999999999,904.4799999999998,6.7170000000000005,35.370000000000005
TUN,Africa,Tunisia,2020,6,202006,33677.0,97.0,1482.0,2.0,2821.522,8.129999999999999,124.15999999999994,0.168,25.279999999999998
PHL,Asia,Philippines,2021,7,202107,46488506.0,176406.0,817272.0,3227.0,418638.4470000001,1588.569,7359.698999999999,29.057000000000002,31.789999999999996
THA,Asia,Thailand,2021,11,202111,60742466.0,203848.0,603018.0,1566.0,868359.299,2914.1590000000006,8620.597,22.386999999999993,27.0
STP,Africa,Sao Tome and Principe,2021,8,202108,77767.0,154.0,1147.0,0.0,348162.64199999993,689.458,5135.119000000001,0.0,36.09
BMU,North America,Bermuda,2021,6,202106,75034.0,20.0,990.0,0.0,1208432.6450000007,322.103,15944.070000000014,0.0,0.0
BES,North America,Bonaire Sint Eustatius and Saba,2020,6,202006,210.0,1.0,0.0,0.0,7940.999999999996,37.814,0.0,0.0,0.0
LUX,Europe,Luxembourg,2021,9,202109,2310622.0,2459.0,25003.0,5.0,3639840.964000001,3873.5749999999994,39386.346,7.876,32.67999999999999
SWZ,Africa,Eswatini,2021,12,202112,1757591.0,19453.0,39131.0,55.0,1499179.0119999999,16592.901000000005,33377.71400000001,46.915,58.53000000000002
ETH,Africa,Ethiopia,2021,2,202102,4140296.0,21422.0,62121.0,272.0,35124.096,181.73200000000003,527.0029999999999,2.3070000000000004,31.95
ARG,South America,Argentina,2020,5,202005,275556.0,12423.0,11562.0,321.0,6042.122,272.39900000000006,253.523,7.033999999999999,42.13999999999999
