iso_code,continent,location,LY,LW,total_cases_LY,new_cases_LY,total_deaths_LY,new_deaths_LY,reproduction_rate_LY,CY,CW,total_cases_CT,new_cases_CT,total_deaths_CT,new_deaths_CT,reproduction_rate_CT
PAK,Asia,Pakistan,2020,35,2059489.0,3198.0,43851.0,53.0,5.859999999999999,2021,35,7980906.0,28669.0,177191.0,681.0,6.91
AUS,Oceania,Australia,2020,43,192189.0,123.0,6335.0,1.0,6.630000000000001,2021,43,1063311.0,15342.0,11138.0,105.0,6.77
PER,South America,Peru,2020,23,164476.0,8805.0,20710.0,599.0,1.17,2021,23,9842890.0,24922.0,925791.0,2290.0,4.8
PER,South America,Peru,2020,23,1089474.0,27282.0,136582.0,3515.0,6.81,2021,23,9842890.0,24922.0,925791.0,2290.0,4.8
BES,North America,Bonaire Sint Eustatius and Saba,2020,25,49.0,0.0,0.0,0.0,0.0,2021,25,11376.0,11.0,119.0,0.0,0.0
BRA,South America,Brazil,2020,45,39181004.0,118124.0,1128706.0,2376.0,6.790000000000001,2021,45,21814625.0,6130.0,608082.0,133.0,0.92
LUX,Europe,Luxembourg,2020,36,13250.0,0.0,248.0,0.0,2.06,2021,36,304089.0,342.0,3320.0,0.0,4.56
LUX,Europe,Luxembourg,2020,36,33931.0,271.0,620.0,0.0,5.91,2021,36,304089.0,342.0,3320.0,0.0,4.56
SPM,North America,Saint Pierre and Miquelon,2020,21,7.0,0.0,0.0,0.0,0.0,2021,21,175.0,0.0,0.0,0.0,0.0
BMU,North America,Bermuda,2020,22,964.0,12.0,63.0,0.0,0.0,2021,22,17432.0,3.0,224.0,0.0,0.0
MYS,Asia,Malaysia,2020,22,53008.0,577.0,805.0,0.0,8.190000000000001,2021,22,3739219.0,53419.0,17051.0,451.0,8.42
SEN,Africa,Senegal,2020,37,98727.0,289.0,2047.0,5.0,5.540000000000001,2021,37,513166.0,336.0,12718.0,34.0,3.5600000000000005
SLV,North America,El Salvador,2020,36,51364.0,192.0,1430.0,9.0,1.76,2021,36,282180.0,0.0,8725.0,28.0,1.56
SLV,North America,El Salvador,2020,36,130029.0,477.0,3690.0,35.0,4.43,2021,36,282180.0,0.0,8725.0,28.0,1.56
